i,j,shared_len
237,57,6.010285720920682
237,148,0
237,67,20.995347937415882
237,984,10.027039126846852
237,265,28.819872605264393
237,734,15.55723552586114
237,1038,36.38836829806748
237,574,0
238,945,133.4576614227474
238,1114,32.790180394456236
238,956,30.613931513465218
238,1041,52.02843631769592
239,1056,8.401996604891867
239,155,9.226130190280493
239,205,113.22714830236734
239,1062,30.695733375361367
239,1234,7.634273787668901
240,755,5.160501305594307
240,528,25.890132072125972
240,393,88.98067878485423
240,1302,0
241,1640,0
241,1576,2.0305289556625716
241,1520,21.97667261647837
241,1531,20.420975986880325
241,1532,8.789860766263647
241,1172,0.0051639991369090395
242,518,7.663758710359449
242,674,26.785049578996258
242,1271,19.178198274567055
242,461,10.351932199459227
243,828,12.931573633561793
243,909,40.73026403586259
243,1071,8.3231155997226125
243,935,2.6394682482551777
243,650,16.955771561512563
243,1448,5.152408281247055
243,464,0
243,527,29.11005685990693
244,1250,62.042533139623835
244,1079,66.69599667897658
245,675,69.05792857729737
245,610,61.59045720112153
246,1258,0
246,1112,34.45061429856723
246,549,46.974133134159175
246,1345,68.65809015181405
246,262,4.505045039212999
247,604,96.65104946038147
247,1264,169.39784880399574
247,1169,12.387597359284467
247,510,13.172279308250701
247,14,0
247,41,1.1930450455208708
247,1060,0
247,197,2.093061483383266
247,820,0
248,1124,0
248,1200,150.70841524679912
249,1330,68.50027149258675
249,1128,0.005054199515407178
250,1457,0
250,1149,44.64302857109943
250,1121,0
251,1436,6.157750376892309
252,1385,4.312848742745881
252,1035,8.29432852111675
252,1175,0
252,1147,41.99721082133694
253,1638,4.2730909068024054
253,62,0
253,1434,6.797054414956783
253,347,2.2699054093564657
253,1287,9.487672147281987
253,412,0
254,1318,0
254,412,29.083902263420505
254,473,18.54134979343088
254,346,10.968182679366116
254,411,12.290090673526665
254,1287,0
254,1039,49.71341566276502
255,1255,55.08175741568164
255,1150,0
255,1013,40.80441152620633
255,1351,0
256,1350,64.57153412612497
256,875,62.932639022356014
257,5,0
257,1061,41.26587208648131
257,1069,7.279228907772449
258,704,25.76329649157113
259,1478,43.747900266504146
259,1489,0.016086139808549647
259,1494,0
260,328,10.851350399111228
260,613,5.377148020310518
260,722,0.002550626153492997
260,796,68.01333559206327
261,1244,41.501164607321094
262,1104,7.767203581106201
262,1100,0
262,1514,2.8526079083381806
262,899,27.12140233742128
262,886,12.406006773804709
262,1355,32.43730298276596
262,471,31.735173170908915
262,995,32.083484141398856
262,1157,26.122180595544467
262,21,0
262,1599,2.425649148929053
263,1522,39.05124837953327
263,1526,0
263,1527,0
264,1450,43.47903428933359
264,759,21.31565218086689
264,749,28.715021166085414
264,1422,36.63187313135866
265,1198,0
265,1387,13.864948032243978
265,358,9.40074411293788
265,395,71.10826994557812
266,327,77.45061202657078
267,41,1.902654116307458
267,1264,0
267,510,0
267,1060,12.702506346217838
267,14,3.068796961803505
267,1277,11.388394733876432
267,820,166.07784852376034
267,498,165.42339197712386
267,1393,13.472463199845098
267,960,12.55304745492424
267,125,7.757790169464993
267,1042,0
268,149,0
268,1248,49.53385296108235
268,487,13.821662039534719
268,931,9.712924838640811
268,441,48.53609916472032
269,206,0
269,1377,56.405067148357745
270,953,5.228128314811701
271,1243,18.477342977324184
271,1044,10.728820755696281
271,58,100.18974256270097
271,1358,0
271,1298,0
271,992,0
272,626,0
272,944,54.12035534552251
272,481,16.15549442140351
273,866,112.30462927412364
273,1608,74.8116639915982
274,360,55.22599252461412
274,359,49.472495968145395
275,1119,0
275,876,19.993750039741386
275,382,17.20426345501456
276,7,0
276,681,22.084632744514487
276,955,14.281016172257752
276,534,29.945612905325426
276,1424,33.52610922848042
276,932,0
277,1327,0
277,15,106.73799698326741
278,777,0
278,559,19.065918027992836
278,503,20.134047675604553
278,617,15.497304718274572
278,537,16.995258162185333
278,1139,45.36354162340771
